order_id,order_date,customer_id,product_id,quantity,unit_price,sales,profit,city,region,segment,source_file,source_system,ingestion_timestamp,ingestion_id
O000001,2025-03-24,C0240,P047,7,68091.08,476637.56,138084.66,Hyderabad,South,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,e7f66069-8534-41d2-8ab3-8cc920664a69
O000002,2026-05-12,C0154,P019,2,4262.66,8525.32,2976.4,Hyderabad,South,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,ea73b435-62f5-44ca-94f2-e2fab9a3978a
O000003,2025-05-08,C0471,P005,5,5732.18,28660.9,8297.4,Ahmedabad,West,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,d5380fea-d801-45d9-8b4a-c216fcf00990
O000004,2025-09-26,C0097,P030,2,22708.06,45416.12,18723.36,Lucknow,North,Home Office,orders.csv,RetailMart,2026-07-21T13:08:30,23bcc0c2-299a-451f-b6ab-9fcd78cb50c0
O000005,2025-09-27,C0498,P059,6,65835.37,395012.22,106166.46,Chandigarh,North,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,aea6e7d2-26e9-455f-8b11-14c29d697680
O000006,2025-05-14,C0007,P001,2,55441.98,110883.96,23926.26000000001,Lucknow,North,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,3f762c28-2cd8-4de6-b0f4-a9c3f2ef6b70
O000007,2025-12-15,C0421,P085,6,16911.5,101469.0,20712.66,Ahmedabad,West,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,0519c62f-8e56-4bd9-b772-f923de08a5cb
O000008,2026-01-02,C0279,P065,3,32631.52,97894.56,24765.84,Ahmedabad,West,Home Office,orders.csv,RetailMart,2026-07-21T13:08:30,c4262580-083b-4220-9368-94049e59dd06
O000009,2025-02-01,C0398,P077,5,66427.49,332137.45,139544.6,Chennai,South,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,86517873-df5b-4465-b2fa-3372c99adedb
O000010,2025-10-23,C0363,P037,6,27964.43,167786.58,51247.5,Bhopal,Central,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,1f058b29-d5cd-4935-b7d6-b582b9fab0a3
O000011,2026-04-07,C0441,P034,7,32304.09,226128.63,59890.04,Chennai,South,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,5130b1af-b5c7-4621-ad20-736909c06895
O000012,2026-02-25,C0166,P049,4,80416.62,321666.48,122743.6,Mumbai,West,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,20fbbd85-3908-489f-b65a-e9bb950b61a1
O000013,2025-10-04,C0345,P086,3,55810.37,167431.11,73709.22,Jaipur,North,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,426ba70a-8701-4155-b625-ded34dfca0e6
O000014,2025-11-18,C0216,P091,3,78868.39,236605.17,57147.42,Jaipur,North,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,15f45974-53cf-4b3b-a5e6-d71578bc2303
O000015,2025-07-06,C0061,P086,3,55810.37,167431.11,73709.22,Chennai,South,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,afce8078-efb6-432f-b9b9-51d5f6459cd2
O000016,2025-10-18,C0292,P050,6,50189.25,301135.5,127782.84,Bengaluru,South,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,72b70273-823c-46a6-9952-3605f83221e2
O000017,2025-08-07,C0259,P011,1,4784.18,4784.18,1927.29,Delhi,North,Home Office,orders.csv,RetailMart,2026-07-21T13:08:30,752124d8-0d7d-4128-b9ab-690c1fd98b62
O000018,2025-12-12,C0500,P092,5,59364.42,296822.1,66412.55,Chennai,South,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,39017b4d-2cad-4760-aa30-06fbe3d33b1a
O000019,2025-07-05,C0196,P018,1,48589.08,48589.08,16404.12,Bengaluru,South,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,807637f4-8de9-4f36-84a2-d9e6d3b934ac
O000020,2025-01-14,C0159,P020,2,44557.1,89114.2,37655.08,Chennai,South,Home Office,orders.csv,RetailMart,2026-07-21T13:08:30,4c9befe4-929e-4046-b8a5-2d2c9dc031d0
O000021,2025-09-03,C0304,P093,5,3489.65,17448.25,6901.1,Pune,West,Home Office,orders.csv,RetailMart,2026-07-21T13:08:30,cf44e3e2-971d-411c-ac0a-9198903327dd
O000022,2025-11-24,C0211,P031,1,40661.34,40661.34,13720.76,Delhi,North,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,6f436a8d-5cb2-4558-bfdf-5d1159c85b3a
O000023,2025-06-02,C0284,P001,3,55441.98,166325.94,35889.390000000014,Lucknow,North,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,ac0096a0-fd22-4d50-a16f-a975a54734ac
O000024,2025-12-13,C0086,P071,4,54180.31,216721.24,90390.36,Chennai,South,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,d8a1af1d-f13a-4f00-bd22-9e49f26f50dd
O000025,2025-12-06,C0357,P099,6,83318.99,499913.94,142417.08,Bhopal,Central,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,48770837-34b5-4e57-be88-a00857952ef3
O000026,2026-02-21,C0440,P048,7,66540.44,465783.08,109607.61,Chandigarh,North,Consumer,orders.csv,RetailMart,2026-07-21T13:08:30,3bcf9bab-1ae2-48ee-818f-2abd4440e2e9
O000027,2026-01-30,C0326,P091,4,78868.39,315473.56,76196.56,Delhi,North,Corporate,orders.csv,RetailMart,2026-07-21T13:08:30,ba1cd2a2-17a8-4679-993f-ec26eab2bccb
