product_id,current_stock,reorder_level,unit_cost,warehouse
P001,2,23,43478.85,Bengaluru WH
P002,109,90,23828.36,Mumbai WH
P003,-5,76,15161.76,Mumbai WH
P004,205,33,40156.02,Bengaluru WH
P005,185,27,4072.7,Jaipur WH
P006,385,34,9652.86,Delhi WH
P007,188,98,15565.32,Mumbai WH
P008,295,56,46557.85,Bengaluru WH
P009,271,82,14348.27,Mumbai WH
P010,127,70,-100.0,Mumbai WH
P011,436,65,2856.89,Delhi WH
P012,223,31,3273.56,Jaipur WH
P013,124,95,37989.62,Jaipur WH
P014,270,44,18585.5,Delhi WH
P015,209,66,58006.16,Bengaluru WH
P016,268,75,2259.39,Bengaluru WH
P017,128,71,12460.51,Jaipur WH
P018,221,95,32184.96,Mumbai WH
P019,78,31,2774.46,Mumbai WH
P020,230,60,25729.56,Bengaluru WH
P021,345,52,39965.62,Delhi WH
P022,456,57,45343.51,Mumbai WH
P023,64,29,56922.46,Bengaluru WH
P024,486,30,63826.64,Delhi WH
P025,473,42,47946.73,Jaipur WH
P026,46,44,38833.97,Delhi WH
P027,307,54,31413.11,Jaipur WH
P028,392,68,49207.67,Bengaluru WH
P029,200,70,23690.82,Delhi WH
P030,485,52,13346.38,Bengaluru WH
P031,76,52,26940.58,Jaipur WH
P032,420,37,12874.09,Mumbai WH
P033,474,67,19915.02,Mumbai WH
P034,300,45,23748.37,Jaipur WH
P035,460,22,20389.19,Mumbai WH
P036,149,53,52957.45,Mumbai WH
P037,238,57,19423.18,Delhi WH
P038,73,38,52387.79,Delhi WH
P039,47,65,47450.65,Mumbai WH
P040,175,65,33792.93,Delhi WH
P041,294,76,37782.8,Jaipur WH
P042,273,71,46225.61,Delhi WH
P043,293,72,8088.16,Delhi WH
P044,308,45,6083.56,Delhi WH
P045,123,82,5823.74,Bengaluru WH
P046,171,63,9503.48,Jaipur WH
P047,98,54,48364.7,Mumbai WH
P048,264,70,50882.21,Mumbai WH
P049,263,48,49730.72,Bengaluru WH
P050,480,61,28892.11,Delhi WH
P051,404,78,31246.29,Jaipur WH
P052,279,90,33857.88,Jaipur WH
P053,64,93,27403.54,Mumbai WH
P054,425,60,49740.27,Bengaluru WH
P055,366,61,29809.44,Bengaluru WH
P056,134,83,46097.43,Bengaluru WH
P057,122,45,5750.83,Bengaluru WH
P058,259,86,37093.39,Jaipur WH
P059,191,59,48140.96,Delhi WH
P060,20,29,22518.6,Mumbai WH
P061,27,25,40394.61,Jaipur WH
P062,434,87,19686.43,Bengaluru WH
P063,410,24,7942.66,Bengaluru WH
P064,38,42,53175.36,Mumbai WH
P065,282,46,24376.24,Delhi WH
P066,243,33,37761.86,Delhi WH
P067,365,45,45075.55,Delhi WH
P068,33,79,26157.52,Bengaluru WH
P069,451,21,49242.16,Jaipur WH
P070,218,86,7906.53,Jaipur WH
P071,353,88,31582.72,Delhi WH
P072,207,49,36787.94,Mumbai WH
P073,354,32,756.57,Delhi WH
P074,119,68,44191.19,Delhi WH
P075,334,29,26120.89,Mumbai WH
P076,254,49,20523.76,Delhi WH
P077,250,96,38518.57,Mumbai WH
P078,38,99,66729.36,Mumbai WH
P079,224,81,18770.13,Jaipur WH
P080,212,44,7473.86,Mumbai WH
P081,385,75,41072.43,Delhi WH
P082,72,76,6147.65,Mumbai WH
P083,376,51,1563.78,Delhi WH
P084,462,71,9287.99,Mumbai WH
P085,166,20,13459.39,Jaipur WH
P086,337,36,31240.63,Delhi WH
P087,378,62,305.15,Delhi WH
P088,233,33,39496.56,Delhi WH
P089,355,33,15850.15,Mumbai WH
P090,208,86,3785.43,Jaipur WH
P091,460,99,59819.25,Jaipur WH
P092,479,64,46081.91,Jaipur WH
P093,100,87,2109.43,Jaipur WH
P094,400,99,7334.71,Mumbai WH
P095,325,31,45626.73,Delhi WH
P096,251,55,42829.27,Bengaluru WH
P097,421,51,37610.91,Jaipur WH
P098,164,26,17112.52,Bengaluru WH
P099,417,80,59582.81,Mumbai WH
P100,20,54,3372.95,Mumbai WH
