order_id,order_date,customer_id,product_id,quantity,unit_price,sales,profit,city,region,segment
O000001,2025-03-24,C0240,P047,7,68091.08,476637.56,138084.66,Hyderabad,South,Consumer
O000002,2026-05-12,C0154,P019,2,4262.66,8525.32,2976.4,Hyderabad,South,Consumer
O000003,2025-05-08,C0471,P005,5,5732.18,28660.9,8297.4,Ahmedabad,West,Corporate
O000004,2025-09-26,C0097,P030,2,22708.06,45416.12,18723.36,Lucknow,North,Home Office
O000005,2025-09-27,C0498,P059,6,65835.37,395012.22,106166.46,Chandigarh,North,Consumer
O000006,2025-05-14,C0007,P001,2,55441.98,110883.96,23926.26000000001,Lucknow,North,Consumer
O000007,2025-12-15,C0421,P085,6,16911.5,101469.0,20712.66,Ahmedabad,West,Corporate
O000008,2026-01-02,C0279,P065,3,32631.52,97894.56,24765.84,Ahmedabad,West,Home Office
O000009,2025-02-01,C0398,P077,5,66427.49,332137.45,139544.6,Chennai,South,Consumer
O000010,2025-10-23,C0363,P037,6,27964.43,167786.58,51247.5,Bhopal,Central,Corporate
O000011,2026-04-07,C0441,P034,7,32304.09,226128.63,59890.04,Chennai,South,Corporate
O000012,2026-02-25,C0166,P049,4,80416.62,321666.48,122743.6,Mumbai,West,Corporate
O000013,2025-10-04,C0345,P086,3,55810.37,167431.11,73709.22,Jaipur,North,Corporate
O000014,2025-11-18,C0216,P091,3,78868.39,236605.17,57147.42,Jaipur,North,Corporate
O000015,2025-07-06,C0061,P086,3,55810.37,167431.11,73709.22,Chennai,South,Consumer
O000016,2025-10-18,C0292,P050,6,50189.25,301135.5,127782.84,Bengaluru,South,Corporate
O000017,2025-08-07,C0259,P011,1,4784.18,4784.18,1927.29,Delhi,North,Home Office
O000018,2025-12-12,C0500,P092,5,59364.42,296822.1,66412.55,Chennai,South,Consumer
O000019,2025-07-05,C0196,P018,1,48589.08,48589.08,16404.12,Bengaluru,South,Corporate
O000020,2025-01-14,C0159,P020,2,44557.1,89114.2,37655.08,Chennai,South,Home Office
O000021,2025-09-03,C0304,P093,5,3489.65,17448.25,6901.1,Pune,West,Home Office
O000022,2025-11-24,C0211,P031,1,40661.34,40661.34,13720.76,Delhi,North,Consumer
O000023,2025-06-02,C0284,P001,3,55441.98,166325.94,35889.390000000014,Lucknow,North,Consumer
O000024,2025-12-13,C0086,P071,4,54180.31,216721.24,90390.36,Chennai,South,Corporate
O000025,2025-12-06,C0357,P099,6,83318.99,499913.94,142417.08,Bhopal,Central,Consumer
