order_id,order_date,customer_id,product_id,quantity,unit_price,sales,profit,city,region,segment,processing_timestamp
O000001,2025-03-24,C0240,P047,7,68091.08,476637.56,138084.66,Hyderabad,South,Consumer,2026-07-21T13:08:31
O000002,2026-05-12,C0154,P019,2,4262.66,8525.32,2976.4,Hyderabad,South,Consumer,2026-07-21T13:08:31
O000003,2025-05-08,C0471,P005,5,5732.18,28660.9,8297.4,Ahmedabad,West,Corporate,2026-07-21T13:08:31
O000004,2025-09-26,C0097,P030,2,22708.06,45416.12,18723.36,Lucknow,North,Home Office,2026-07-21T13:08:31
O000005,2025-09-27,C0498,P059,6,65835.37,395012.22,106166.46,Chandigarh,North,Consumer,2026-07-21T13:08:31
O000006,2025-05-14,C0007,P001,2,55441.98,110883.96,23926.26000000001,Lucknow,North,Consumer,2026-07-21T13:08:31
O000007,2025-12-15,C0421,P085,6,16911.5,101469.0,20712.66,Ahmedabad,West,Corporate,2026-07-21T13:08:31
O000008,2026-01-02,C0279,P065,3,32631.52,97894.56,24765.84,Ahmedabad,West,Home Office,2026-07-21T13:08:31
O000009,2025-02-01,C0398,P077,5,66427.49,332137.45,139544.6,Chennai,South,Consumer,2026-07-21T13:08:31
O000010,2025-10-23,C0363,P037,6,27964.43,167786.58,51247.5,Bhopal,Central,Corporate,2026-07-21T13:08:31
O000011,2026-04-07,C0441,P034,7,32304.09,226128.63,59890.04,Chennai,South,Corporate,2026-07-21T13:08:31
O000012,2026-02-25,C0166,P049,4,80416.62,321666.48,122743.6,Mumbai,West,Corporate,2026-07-21T13:08:31
O000013,2025-10-04,C0345,P086,3,55810.37,167431.11,73709.22,Jaipur,North,Corporate,2026-07-21T13:08:31
O000014,2025-11-18,C0216,P091,3,78868.39,236605.17,57147.42,Jaipur,North,Corporate,2026-07-21T13:08:31
O000015,2025-07-06,C0061,P086,3,55810.37,167431.11,73709.22,Chennai,South,Consumer,2026-07-21T13:08:31
O000016,2025-10-18,C0292,P050,6,50189.25,301135.5,127782.84,Bengaluru,South,Corporate,2026-07-21T13:08:31
O000017,2025-08-07,C0259,P011,1,4784.18,4784.18,1927.29,Delhi,North,Home Office,2026-07-21T13:08:31
O000018,2025-12-12,C0500,P092,5,59364.42,296822.1,66412.55,Chennai,South,Consumer,2026-07-21T13:08:31
O000019,2025-07-05,C0196,P018,1,48589.08,48589.08,16404.12,Bengaluru,South,Corporate,2026-07-21T13:08:31
O000020,2025-01-14,C0159,P020,2,44557.1,89114.2,37655.08,Chennai,South,Home Office,2026-07-21T13:08:31
O000021,2025-09-03,C0304,P093,5,3489.65,17448.25,6901.1,Pune,West,Home Office,2026-07-21T13:08:31
O000022,2025-11-24,C0211,P031,1,40661.34,40661.34,13720.76,Delhi,North,Consumer,2026-07-21T13:08:31
O000023,2025-06-02,C0284,P001,3,55441.98,166325.94,35889.390000000014,Lucknow,North,Consumer,2026-07-21T13:08:31
O000024,2025-12-13,C0086,P071,4,54180.31,216721.24,90390.36,Chennai,South,Corporate,2026-07-21T13:08:31
O000025,2025-12-06,C0357,P099,6,83318.99,499913.94,142417.08,Bhopal,Central,Consumer,2026-07-21T13:08:31
O000026,2026-02-21,C0440,P048,7,66540.44,465783.08,109607.61,Chandigarh,North,Consumer,2026-07-21T13:08:31
O000027,2026-01-30,C0326,P091,4,78868.39,315473.56,76196.56,Delhi,North,Corporate,2026-07-21T13:08:31
O000028,2026-03-04,C0143,P097,5,62464.02,312320.1,124265.55,Chennai,South,Home Office,2026-07-21T13:08:31
O000029,2025-03-04,C0231,P087,1,541.1,541.1,235.95,Bengaluru,South,Home Office,2026-07-21T13:08:31
O000030,2025-08-29,C0254,P074,6,70172.93,421037.58,155890.44,Bengaluru,South,Consumer,2026-07-21T13:08:31
O000031,2025-12-24,C0325,P056,7,79160.58,554124.06,231442.05,Lucknow,North,Home Office,2026-07-21T13:08:31
O000032,2026-06-23,C0209,P097,1,62464.02,62464.02,24853.11,Bengaluru,South,Home Office,2026-07-21T13:08:31
O000033,2026-02-06,C0078,P029,6,32781.8,196690.8,54545.88,Hyderabad,South,Home Office,2026-07-21T13:08:31
O000034,2025-07-09,C0486,P075,5,39019.9,195099.5,64495.05,Kolkata,East,Consumer,2026-07-21T13:08:31
O000035,2025-01-23,C0003,P013,3,57886.28,173658.84,59689.98,Lucknow,North,Consumer,2026-07-21T13:08:31
O000036,2025-09-25,C0255,P078,7,84748.18,593237.26,126131.74,Pune,West,Consumer,2026-07-21T13:08:31
O000037,2025-09-12,C0438,P099,7,83318.99,583232.93,166153.26,Hyderabad,South,Corporate,2026-07-21T13:08:31
O000038,2025-08-14,C0163,P098,2,23072.83,46145.66,11920.62,Kolkata,East,Corporate,2026-07-21T13:08:31
O000039,2025-02-16,C0038,P080,5,9117.15,45585.75,8216.45,Bhopal,Central,Corporate,2026-07-21T13:08:31
O000040,2026-03-15,C0111,P056,4,79160.58,316642.32,132252.6,Lucknow,North,Home Office,2026-07-21T13:08:31
O000041,2026-03-26,C0134,P093,4,3489.65,13958.6,5520.88,Pune,West,Corporate,2026-07-21T13:08:31
O000042,2025-07-23,C0120,P004,1,69423.02,69423.02,29267.0,Pune,West,Corporate,2026-07-21T13:08:31
O000043,2025-03-01,C0477,P005,3,5732.18,17196.54,4978.44,Mumbai,West,Home Office,2026-07-21T13:08:31
O000044,2026-01-26,C0466,P068,6,32040.45,192242.7,35297.58,Ahmedabad,West,Corporate,2026-07-21T13:08:31
O000045,2026-04-19,C0329,P078,1,84748.18,84748.18,18018.82,Delhi,North,Home Office,2026-07-21T13:08:31
O000046,2026-03-15,C0370,P074,3,70172.93,210518.79,77945.22,Bhopal,Central,Consumer,2026-07-21T13:08:31
O000047,2025-05-09,C0191,P005,7,5732.18,40125.26,11616.36,Ahmedabad,West,Corporate,2026-07-21T13:08:31
O000048,2026-04-15,C0051,P063,2,13464.38,26928.76,11043.44,Lucknow,North,Corporate,2026-07-21T13:08:31
O000049,2025-10-09,C0222,P001,7,55441.98,388093.86,83741.91000000003,Delhi,North,Home Office,2026-07-21T13:08:31
O000050,2025-01-17,C0132,P068,4,32040.45,128161.8,23531.72,Lucknow,North,Home Office,2026-07-21T13:08:31
O000051,2026-05-05,C0380,P041,5,62487.13,312435.65,123521.65,Kolkata,East,Home Office,2026-07-21T13:08:31
O000052,2025-05-10,C0306,P068,2,32040.45,64080.9,11765.86,Jaipur,North,Consumer,2026-07-21T13:08:31
O000053,2025-07-10,C0208,P086,4,55810.37,223241.48,98278.96,Delhi,North,Consumer,2026-07-21T13:08:31
O000054,2025-06-13,C0390,P086,7,55810.37,390672.59,171988.18,Ahmedabad,West,Corporate,2026-07-21T13:08:31
O000055,2025-08-06,C0355,P060,4,28412.52,113650.08,23575.68,Kolkata,East,Home Office,2026-07-21T13:08:31
